# SDG Philippines Province Data
# Format: Province|Region|SDG1|SDG2|SDG3|SDG4|SDG5|SDG6|SDG7|SDG8|SDG9|SDG10|SDG11|SDG12|SDG13|SDG14|SDG15|SDG16|SDG17
# Indicators: PovertyIncidence|FoodInsecurityRate|VulnerableHealthScore|LiteracyRate|GenderInequalityScore|CleanWaterVulnerabilityScore|EnergyCapacityScore|LaborForceParticipationRate|InfrastructureCapacityScore|EconomicConstraintsScore|InformalSettlersRate|GarbagePickupRate|MultiHazardExposureScore|MarineProtectedArea|EnvironmentalStressScore|OrganizedViolenceRate|InternetAccessRate
# N/A = No data available | EXCL. = Excluded from dashboard
# Total provinces: 84

Davao Occidental|XI|30.87|N/A|0.431|90.33|0.802|0.729|0.668|N/A|0.385|0.685|1.5|50.01|0.308|EXCL.|0.315|2.42|8.44
Davao Oriental|XI|27.7|72|0.439|97.35|0.683|0.036|0.426|65|0.412|0.598|2.3|19.09|0.552|EXCL.|0.308|8.72|1.95
Dinagat Islands|XIII|26.63|N/A|0.68|98.54|0.407|0.326|0.432|N/A|0.431|0.599|1.5|20.06|0.409|EXCL.|0.44|0|1.17
Eastern Samar|VIII|40.94|N/A|0.504|97.31|0.421|0.499|0.633|67.26|0.511|0.816|1.5|27.05|0.642|EXCL.|0.512|2.46|2.48
Guimaras|VI|6.62|55|0.331|99.31|0.346|0.26|0.377|52.22|0.491|0.209|0.8|8.99|0.352|EXCL.|0.483|1.1|2.14
Ifugao|CAR|9.83|75|0.362|95.68|0.583|0.619|0.532|70.14|0.516|0.31|0.3|10.01|0.632|EXCL.|0.472|4.33|0.84
Ilocos Norte|I|3.2|58|0.295|98.99|0.397|0.313|0.928|67.92|0.722|0.148|0.5|25.21|0.756|EXCL.|0.731|6.77|8.2
Ilocos Sur|I|5.38|53|0.358|99.1|0.346|0.215|0.872|63.13|0.712|0.19|0.4|18.22|0.694|EXCL.|0.586|11.33|6.1
Iloilo|VI|11.96|70|0.432|98.79|0.41|0.381|0.628|62.6|0.684|0.291|2.4|23.95|0.821|EXCL.|0.65|4.53|6.18
Isabela|II|12.91|65|0.313|98.97|0.454|0.369|0.805|65.06|0.556|0.271|1.1|18.86|0.901|EXCL.|0.623|11.33|3.38
Kalinga|CAR|9.32|70|0.463|96.49|0.242|0.427|0.64|58.45|0.53|0.33|0.6|2.41|0.557|EXCL.|0.671|9.2|1.5
La Union|I|2.88|64|0.447|99.15|0.28|0.343|0.844|62.22|0.664|0.137|1|22.6|0.657|EXCL.|0.603|6.89|7.58
Laguna|IV-A|2.7|40|0.301|99.64|0.279|0.393|0.953|67.14|0.707|0.063|1.6|77.35|0.747|EXCL.|0.456|10.1|12.48
Lanao Del Norte|X|19.04|83|0.401|96.97|0.607|0.582|0.629|65.42|0.537|0.499|2.3|30.48|0.504|EXCL.|0.425|4.41|5.59
Lanao Del Sur|BARMM|64.05|90|0.413|94.12|0.922|0.887|0.76|46.88|0.439|0.945|1.4|13.65|0.477|EXCL.|0.34|26.9|1.74
Leyte|VIII|21.86|65|0.433|97.21|0.533|0.406|0.615|59.04|0.541|0.508|1.8|19.35|0.831|EXCL.|0.472|3.94|5.01
Maguindanao|BARMM|39.91|80|0.437|89.28|0.909|0.823|0.203|69.03|0.27|0.924|3.3|4.89|0.577|EXCL.|0.301|32.31|0.43
Marinduque|IV-B|9.95|58|0.586|99.25|0.334|0.317|0.592|64.02|0.561|0.434|1.4|9.35|0.533|EXCL.|0.591|0|3.44
Masbate|V|25.79|80|0.552|97.77|0.517|0.713|0.172|69.36|0.395|0.808|1.9|6.25|0.579|EXCL.|0.59|9.35|1.09
Misamis Occidental|X|19.35|57|0.466|98.55|0.378|0.329|0.578|59.79|0.569|0.421|1.8|19.94|0.477|EXCL.|0.279|3.89|4.5
Misamis Oriental|X|11.35|59|0.425|98.81|0.443|0.286|0.739|65.08|0.576|0.284|3.5|43.62|0.573|EXCL.|0.395|7|9.04
Mountain Province|CAR|17.18|80|0.358|95.86|0.024|0.21|0.811|84.71|0.68|0.423|0.5|9.66|0.492|EXCL.|0.469|8.33|2.1
NCR|NCR|1.46|N/A|0.3|99.82|0.195|0.183|0.992|63.7|0.765|0|4|96.69|0.883|EXCL.|0.481|14.95|27.63
Negros Occidental|VI|14.65|70|0.506|98.02|0.522|0.569|0.572|64.99|0.549|0.36|3.8|25.06|0.785|EXCL.|0.525|7.99|5.45
Negros Oriental|VII|19.2|65|0.563|97.72|0.483|0.529|0.373|69.36|0.412|0.433|1.5|15.56|0.633|EXCL.|0.547|8.08|4.98
Northern Samar|VIII|27.39|70|0.669|97.16|0.521|0.688|0.525|58.74|0.407|0.692|1.7|16.25|0.631|EXCL.|0.225|5.8|1.59
Nueva Ecija|III|6.5|60|0.266|99.46|0.52|0.465|0.874|63.99|0.582|0.193|1.3|28.01|0.797|EXCL.|0.44|9.65|5.43
Nueva Vizcaya|II|11.4|64|0.415|98.26|0.578|0.29|0.7|65.69|0.608|0.293|1.1|23.15|0.792|EXCL.|0.583|7|3.58
Occidental Mindoro|IV-B|16.06|78|0.682|96.35|0.565|0.504|0.51|68.01|0.492|0.502|1.4|15.1|0.66|EXCL.|0.613|4.16|2.64
Oriental Mindoro|IV-B|7.15|60|0.425|97.77|0.391|0.272|0.554|60.85|0.566|0.335|1.5|19.99|0.745|EXCL.|0.536|4.66|3.74
Palawan|IV-B|8.43|67|0.531|95.69|0.584|0.704|0.358|69.87|0.423|0.347|2.8|22.65|0.48|EXCL.|0.478|3.07|2.45
Pampanga|III|1.94|75|0.22|99.41|0.39|0.318|0.979|61.04|0.705|0.091|1.8|66.26|0.799|EXCL.|0.517|3.8|13.87
Pangasinan|I|9.17|48|0.415|99.35|0.362|0.194|0.829|60.22|0.576|0.303|1.4|20.59|0.83|EXCL.|0.516|6.06|5.32
Quezon|IV-A|9.31|56|0.423|99.15|0.451|0.753|0.367|67.98|0.514|0.311|2.6|32.75|0.641|EXCL.|0.496|8.83|4.81
Quirino|II|8.85|81|0.237|98.08|0.51|0.488|0.61|71.57|0.526|0.267|0.7|6.68|0.581|EXCL.|0.633|6.17|2.17
